date,open,high,low,close,adj close,volume,dividends,stock splits,company,Unnamed: 0,headline,url,publisher,stock
2020-06-10,9.167750358581545,9.5,9.153499603271484,9.36674976348877,9.3389253616333,632180000,0.0,0.0,NVDA,929040,Afternoon Market Stats in 5 Minutes,https://www.benzinga.com/markets/20/06/16223572/afternoon-market-stats-in-5-minutes,Benzinga Insights,NVDA
2020-06-10,9.167750358581545,9.5,9.153499603271484,9.36674976348877,9.3389253616333,632180000,0.0,0.0,NVDA,929041,Morning Market Stats in 5 Minutes,https://www.benzinga.com/markets/20/06/16221744/morning-market-stats-in-5-minutes,Benzinga Insights,NVDA
2020-06-10,66.12533569335938,68.49866485595703,65.5,68.336669921875,68.336669921875,278451000,0.0,0.0,TSLA,1261140,"Tesla's Stock Closes At All-Time High As Musk Pushes Semi, Employees Reportedly Test Positive For COVID-19",https://www.benzinga.com/news/20/06/16225150/teslas-stock-closes-at-all-time-high-as-musk-pushes-semi-employees-reportedly-test-positive-for-covi,Drew Levine,TSLA
2020-06-10,66.12533569335938,68.49866485595703,65.5,68.336669921875,68.336669921875,278451000,0.0,0.0,TSLA,1261141,'Tesla factory workplace safety is 5% better than industry average for manufacturers & improving fast' -Tweet From Tesla's Elon Musk,https://www.benzinga.com/news/20/06/16225621/tesla-factory-workplace-safety-is-5-better-than-industry-average-for-manufacturers-improving-fast-tw,Benzinga Newsdesk,TSLA
2020-06-10,66.12533569335938,68.49866485595703,65.5,68.336669921875,68.336669921875,278451000,0.0,0.0,TSLA,1261142,'Tesla hacker unlocks Performance upgrade and acceleration boost at a discount' -Elektrek Report,https://www.benzinga.com/news/20/06/16224205/tesla-hacker-unlocks-performance-upgrade-and-acceleration-boost-at-a-discount-elektrek-report,Benzinga Newsdesk,TSLA
2020-06-10,66.12533569335938,68.49866485595703,65.5,68.336669921875,68.336669921875,278451000,0.0,0.0,TSLA,1261143,GM On Track To Spend $20B On EV And AV Development By 2025,https://www.benzinga.com/news/20/06/16223414/gm-on-track-to-spend-20b-on-ev-and-av-development-by-2025,Benzinga Newsdesk,TSLA
2020-06-10,66.12533569335938,68.49866485595703,65.5,68.336669921875,68.336669921875,278451000,0.0,0.0,TSLA,1261144,"Tesla's Journey To $1,000 In 2020",https://www.benzinga.com/news/20/06/16222035/teslas-journey-to-1-000-in-2020,Wayne Duggan,TSLA
2020-06-10,66.12533569335938,68.49866485595703,65.5,68.336669921875,68.336669921875,278451000,0.0,0.0,TSLA,1261145,"Tesla Shares Mark Session And New All-Time High At $1,000",https://www.benzinga.com/hot/20/06/16221958/tesla-shares-mark-session-and-new-all-time-high-at-1-000,Benzinga Newsdesk,TSLA
2020-06-10,66.12533569335938,68.49866485595703,65.5,68.336669921875,68.336669921875,278451000,0.0,0.0,TSLA,1261146,"Wedbush Says Tesla Has 'Game Changing' Developments, Lifts Target To $1,000",https://www.benzinga.com/analyst-ratings/analyst-color/20/06/16220932/wedbush-says-tesla-has-game-changing-developments-lifts-target-to-1-000,Jayson Derrick,TSLA
2020-06-10,66.12533569335938,68.49866485595703,65.5,68.336669921875,68.336669921875,278451000,0.0,0.0,TSLA,1261147,"Wedbush Maintains Neutral on Tesla, Raises Price Target to $1000",https://www.benzinga.com/news/20/06/16220834/wedbush-maintains-neutral-on-tesla-raises-price-target-to-1000,Benzinga Newsdesk,TSLA
2020-06-10,66.12533569335938,68.49866485595703,65.5,68.336669921875,68.336669921875,278451000,0.0,0.0,TSLA,1261148,Musk Says It's Time To Ramp Production Of Tesla Semi: Report,https://www.benzinga.com/news/20/06/16220141/musk-says-its-time-to-start-production-of-tesla-semi-report,Tanzeel Akhtar,TSLA
2020-06-10,66.12533569335938,68.49866485595703,65.5,68.336669921875,68.336669921875,278451000,0.0,0.0,TSLA,1261149,Tesla shares are trading higher after Wedbush raised its price target on the company's stock from $800 to $1000.,https://www.benzinga.com/wiim/20/06/16220126/tesla-shares-are-trading-higher-after-wedbush-raised-its-price-target-on-the-companys-stock-from-800,Benzinga Newsdesk,TSLA
2020-06-09,83.03500366210938,86.40249633789062,83.00250244140625,85.99749755859375,83.88935852050781,147712400,0.0,0.0,AAPL,7126,Why Apple's Stock Is Trading Higher Today,https://www.benzinga.com/news/20/06/16215446/why-apples-stock-is-trading-higher-today,Tanzeel Akhtar,AAPL
2020-06-09,83.03500366210938,86.40249633789062,83.00250244140625,85.99749755859375,83.88935852050781,147712400,0.0,0.0,AAPL,7127,Apple Could Announce In-House Chips For Macs At WWDC: Report,https://www.benzinga.com/news/20/06/16214115/apple-could-announce-in-house-chips-for-macs-at-wwdc-report,Shanthi Rexaline,AAPL
2020-06-09,83.03500366210938,86.40249633789062,83.00250244140625,85.99749755859375,83.88935852050781,147712400,0.0,0.0,AAPL,7128,"Apple shares are trading higher despite market weakness, not currently seeing company-specific news. It was reported the company is expected to begin iPhone 12 production in July.",https://www.benzinga.com/wiim/20/06/16214320/apple-shares-are-trading-higher-despite-market-weakness-not-currently-seeing-company-specific-news-i,Benzinga Newsdesk,AAPL
2020-06-09,83.03500366210938,86.40249633789062,83.00250244140625,85.99749755859375,83.88935852050781,147712400,0.0,0.0,AAPL,7129,"Sonos Shares Spike To Session High, Now Up 9.5%, As Citron's Andrew Left, Currently Interviewing On FOX Business, Said Co. Could Be Acquired By Apple Or Amazon",https://www.benzinga.com/m-a/20/06/16213381/sonos-shares-spike-to-session-high-now-up-9-5-as-citrons-andrew-left-currently-interviewing-on-fox-b,Benzinga Newsdesk,AAPL
2020-06-10,86.9749984741211,88.69249725341797,86.52249908447266,88.20999908447266,86.04761505126953,166651600,0.0,0.0,AAPL,7120,Tech Stocks And FAANGS Strong Again To Start Day As Market Awaits Fed,https://www.benzinga.com/government/20/06/16223418/tech-stocks-and-faangs-strong-again-to-start-day-as-market-awaits-fed,JJ Kinahan,AAPL
2020-06-10,86.9749984741211,88.69249725341797,86.52249908447266,88.20999908447266,86.04761505126953,166651600,0.0,0.0,AAPL,7121,10 Biggest Price Target Changes For Wednesday,https://www.benzinga.com/analyst-ratings/price-target/20/06/16220539/10-biggest-price-target-changes-for-wednesday,Lisa Levin,AAPL
2020-06-10,86.9749984741211,88.69249725341797,86.52249908447266,88.20999908447266,86.04761505126953,166651600,0.0,0.0,AAPL,7122,"Benzinga Pro's Top 5 Stocks To Watch For Wed., Jun. 10, 2020: AAPL, BAC, NIO, SONO, GLW",https://www.benzinga.com/short-sellers/20/06/16220099/benzinga-pros-top-5-stocks-to-watch-for-wed-jun-10-2020-aapl-bac-nio-sono-glw,Benzinga Newsdesk,AAPL
2020-06-10,86.9749984741211,88.69249725341797,86.52249908447266,88.20999908447266,86.04761505126953,166651600,0.0,0.0,AAPL,7123,"Deutsche Bank Maintains Buy on Apple, Raises Price Target to $350",https://www.benzinga.com/news/20/06/16219873/deutsche-bank-maintains-buy-on-apple-raises-price-target-to-350,Benzinga Newsdesk,AAPL
2020-06-10,86.9749984741211,88.69249725341797,86.52249908447266,88.20999908447266,86.04761505126953,166651600,0.0,0.0,AAPL,7124,"Apple To Let Users Trade In Their Mac Computers For Credit At US, Canada Stores: Report",https://www.benzinga.com/news/20/06/16218697/apple-to-let-users-turn-in-their-mac-computers-for-credit-at-us-canada-stores-starting-this-month-re,Neer Varshney,AAPL
2020-06-10,86.9749984741211,88.69249725341797,86.52249908447266,88.20999908447266,86.04761505126953,166651600,0.0,0.0,AAPL,7125,Big Tech Reaches New Record Heights At The Stock Market,https://www.benzinga.com/news/20/06/16218615/big-tech-reaches-new-record-heights-at-the-stock-market,Neer Varshney,AAPL
